OBJECTID,SchoolId,EfClass,Tract,YearBuilt,NumStories,Cost,Area,Latitude,Longitude,HUSBT,SO,Name,Address,City,Zipcode,Statea,Contact,PhoneNumber,NumStudents,BackupPower,ShelterCapacity,District,Kitchen
2545,HI001649,EFS1,15003000106,1967,1,1323300,4411,21.296229,-157.710167,MERBL,EDU1,Hahaione Elementary - Bldg C,595 PEPEEKEO ST,HONOLULU,96825,HI,NULL,NULL,0,0,0,NULL,0
2546,HI001650,EFS1,15003000106,1972,1,3258000,10860,21.296229,-157.710167,MERBL,EDU1,Hahaione Elementary - Bldg H,595 PEPEEKEO ST,HONOLULU,96825,HI,NULL,NULL,0,0,0,NULL,0
2547,HI001651,EFS1,15003000106,1967,1,1176350,6722,21.296229,-157.710167,WSF1,EDU1,Hahaione Elementary - Bldg I,595 PEPEEKEO ST,HONOLULU,96825,HI,NULL,NULL,0,0,0,NULL,0
2548,HI001652,EFS1,15003010506,1960,1,4022400,13408,21.418251,-157.808585,MERBL,EDU1,Heeia Elementary - Bldg B,46-202 HAIKU RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2549,HI001653,EFS1,15003010506,1961,1,4022400,13408,21.418251,-157.808585,MERBL,EDU1,Heeia Elementary - Bldg C,46-202 HAIKU RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2550,HI001654,EFS1,15003010506,1971,1,1411500,4705,21.418251,-157.808585,MERBL,EDU1,Heeia Elementary - Bldg F,46-202 HAIKU RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2551,HI001655,EFS1,15003010506,1994,1,142100,812,21.418251,-157.808585,WSF1,EDU1,Heeia Elementary - Bldg P1,46-202 HAIKU RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2552,HI001656,EFS1,15003010506,1996,1,142100,812,21.418251,-157.808585,WSF1,EDU1,Heeia Elementary - Bldg P2,46-202 HAIKU RD,KANEOHE,96744,HI,NULL,NULL,0,0,0,NULL,0
2553,HI001657,EFS1,15003009100,1992,2,2386800,7956,21.514167,-158.023312,MERBL,EDU1,Helemano Elem - Bldg F,1001 IHIIHI AVE,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
2554,HI001658,EFS1,15003009100,1996,2,2581500,8605,21.514167,-158.023312,MERBL,EDU1,Helemano Elem - Bldg G,1001 IHIIHI AVE,WAHIAWA,96786,HI,NULL,NULL,0,0,0,NULL,0
