Name,Address,City,Zipcode,Statea,Building_Cost,Content_Cost,Building_Area,HUSBT,YearBuilt,NumStories,SchoolId,EfClass,Tract,Y,X,Occupancy
St. Francis MC - West,2139 Fort Weaver Rd,Ewa Beach,96706,HI,16800000,25200000,55565,CERBL,1990,1,HI000091,EFHL,15003008614,21.37086,-158.02729,COM6
Tripler Army MC,1250 Ala Aolani,Honolulu,96819,HI,16800000,25200000,55565,CERBH,1945,1,HI000031,EFHL,15003006701,21.35954,-157.88417,COM6
Wahiawa General Hospital ,128 Lehua St,Wahiawa,96786,HI,16800000,25200000,55565,MERBL,NULL,1,HI000081,EFHL,15003009300,21.49885,-158.02643,COM6
Kahului Ambulance,230 Hana Highway,Kahului,96732,HI,9674835,14512252.5,31999,CECBL,1966,3,HI000133,EFHS,15009031900,20.888825,-156.459405,COM6
Diamond Head HC,3627 Kilauea Ave,Honolulu,96816,HI,8400000,12600000,27782,WSF1,NULL,1,HI000062,EFHM,15003000800,21.27375,-157.80286,COM6
Kahi Mohala,2301 Fort Weaver Rd,Ewa Beach,96706,HI,8400000,12600000,27782,MERBL,1983,1,HI000085,EFHM,15003008614,21.37647,-158.0379,COM6
Kahi Mohala,2301 Fort Weaver Rd,Ewa Beach,96706,HI,8400000,12600000,27782,MERBL,1983,1,HI000086,EFHM,15003008614,21.37647,-158.0379,COM6
Kahi Mohala,2301 Fort Weaver Rd,Ewa Beach,96706,HI,8400000,12600000,27782,MERBL,1983,1,HI000087,EFHM,15003008614,21.37647,-158.0379,COM6
Kahi Mohala,2301 Fort Weaver Rd,Ewa Beach,96706,HI,8400000,12600000,27782,MERBL,1984,1,HI000088,EFHM,15003008614,21.37647,-158.0379,COM6
Kahi Mohala,2301 Fort Weaver Rd,Ewa Beach,96706,HI,8400000,12600000,27782,MERBL,1983,1,HI000089,EFHM,15003008614,21.37647,-158.0379,COM6
Kaiser FH,3288 Moanalua Rd,Honolulu,96819,HI,8400000,12600000,27782,WSF1,NULL,1,HI000109,EFHM,15003007502,21.36863,-157.90677,COM6
Kaiser Hawaii Kai Clinic,6700 Kalanianaole Hwy,Honolulu,96824,HI,8400000,12600000,27782,WSF1,NULL,1,HI000065,EFHM,15003000108,21.28443,-157.70944,COM6
Kaiser Kahuku Clinic,56-565 Kamehameha Hwy,Kahuku,96731,HI,8400000,12600000,27782,WSF1,NULL,1,HI000110,EFHM,15003010100,21.67491,-157.94579,COM6
Kaiser Kailua Clinic,201 Hamakua Dr,Kailua,96734,HI,8400000,12600000,27782,WSF2,1989,2,HI000067,EFHM,15003011105,21.38997,-157.74049,COM6
Kaiser Koolau Clinic,46-602 Kamehameha Hwy,Kaneohe,96744,HI,8400000,12600000,27782,CERBL,1965,1,HI000072,EFHM,15003010602,21.401,-157.80033,COM6
Kaiser Mililani Clinic,95-660 Lanikuhana Ave,Mililani,96789,HI,8400000,12600000,27782,WSF1,1991,1,HI000098,EFHM,15003008917,21.45001,-158.00508,COM6
Kaiser Nanaikeola Clinic,87-2116 Farrington Hwy,Waianae,96792,HI,8400000,12600000,27782,WSF1,1997,1,HI000084,EFHM,15003940002,21.38622,-158.1494,COM6
Kaiser Punawai Clinic,94-235 Leoku St,Waipahu,96797,HI,8400000,12600000,27782,CERBM,1970,4,HI000097,EFHM,15003008914,21.3799,-158.02346,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBH,1978,9,HI000037,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBH,1979,10,HI000038,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBH,1968,6,HI000036,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBL,1938,2,HI000039,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBL,1955,1,HI000040,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBL,1932,1,HI000041,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBL,1937,1,HI000042,EFHM,15003005000,21.32171,-157.85825,COM6
Kuakini MC,347 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,CERBL,1932,1,HI000043,EFHM,15003005000,21.32171,-157.85825,COM6
Lanakila Health Center,1700 Lanakila Ave,Honolulu,96817,HI,8400000,12600000,27782,WSF1,NULL,1,HI000034,EFHM,15003004800,21.3279,-157.86134,COM6
Leeward Health Center,860 4th St,Pearl City,96782,HI,8400000,12600000,27782,WSF1,NULL,1,HI000105,EFHM,15003008001,21.39284,-157.9695,COM6
Maluhia Elderly Care,1027 Hala Dr,Honolulu,96817,HI,8400000,12600000,27782,WSF1,1931,1,HI000033,EFHM,15003004800,21.32917,-157.86134,COM6
Maunalani Hospital,5113 Maunalani Cir,Honolulu,96816,HI,8400000,12600000,27782,WSF1,NULL,1,HI000063,EFHM,15003000902,21.29735,-157.78902,COM6
Rehabilitation Hospital - Pacific,234 N Kuakini St,Honolulu,96817,HI,8400000,12600000,27782,WSF1,NULL,1,HI000035,EFHM,15003005000,21.32169,-157.85383,COM6
Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBH,1962,8,HI000051,EFHM,15003004100,21.30267,-157.8506,COM6
Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1933,4,HI000047,EFHM,15003004100,21.30267,-157.8506,COM6
Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1971,4,HI000048,EFHM,15003004100,21.30267,-157.8506,COM6
Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBH,1970,7,HI000049,EFHM,15003004100,21.30267,-157.8506,COM6
Straub Clinic & Hospital,888 S King St,Honolulu,96813,HI,8400000,12600000,27782,CERBM,1950,4,HI000050,EFHM,15003004100,21.30267,-157.8506,COM6
Straub Financial District,222 Queen St,Honolulu,96813,HI,8400000,12600000,27782,MERBL,1950,1,HI000045,EFHM,15003004000,21.30682,-157.86179,COM6
Straub Hawaii Kai FH,7192 Kalanianaole Hwy,Honolulu,96825,HI,8400000,12600000,27782,WSF1,NULL,1,HI000066,EFHM,15003000112,21.27849,-157.70543,COM6
Straub Kailua FHC,641 Kailua Rd,Kailua,96734,HI,8400000,12600000,27782,MERBL,1960,2,HI000069,EFHM,15003011105,21.38957,-157.74005,COM6
