,NAME,ADDRESS,CITY,ZIPCODE,STATEA,BUILDING_COST,CONTENT_COST,BUILDING_AREA,HUSBT,YEARBUILT,NUMSTORIES,SCHOOLID,EFCLASS,TRACT,LATITUDE,LONGITUDE,OCCUPANCY,CENSUSBLOCK,TERRAINID
793,Waipahu Intermediate - Bldg S,94-427 FARRINGTON HWY,WAIPAHU,96797,HI,1732200,1732200,5774,MERBL,1957,1,HI001871,EFS1,15003008703,21.380558,-158.012875,EDU1,1.5003E+14,4
794,Palisades Elementary - Bldg A,2306 AUHUHU ST,PEARL CITY,96782,HI,4101600,4101600,13672,MERBL,1955,2,HI001442,EFS1,15003008005,21.425205,-157.95345,EDU1,1.5003E+14,4
795,Palisades Elementary - Bldg C,2306 AUHUHU ST,PEARL CITY,96782,HI,3258000,3258000,10860,MERBL,1967,2,HI001444,EFS1,15003008005,21.425205,-157.95345,EDU1,1.5003E+14,4
796,Waipahu Elementary - Bldg E,94-465 WAIPAHU ST,WAIPAHU,96797,HI,4096800,4096800,13656,MERBL,1964,2,HI001691,EFS1,15003008703,21.384952,-158.015923,EDU1,1.5003E+14,4
797,Waipahu Elementary - Bldg I,94-465 WAIPAHU ST,WAIPAHU,96797,HI,2830500,2830500,9435,MERBL,1970,2,HI001693,EFS1,15003008703,21.384952,-158.015923,EDU1,1.5003E+14,4
798,Waipahu Elementary - Bldg D,94-465 WAIPAHU ST,WAIPAHU,96797,HI,2591400,2591400,8638,MERBL,1969,2,HI001690,EFS1,15003008703,21.384952,-158.015923,EDU1,1.5003E+14,4
799,Waipahu Elementary - Bldg F,94-465 WAIPAHU ST,WAIPAHU,96797,HI,777600,777600,2592,MERBL,1955,1,HI001692,EFS1,15003008703,21.384952,-158.015923,EDU1,1.5003E+14,4
800,Waimalu Elementary - Bldg D,98-825 MOANALUA RD,AIEA,96701,HI,4057800,4057800,13526,MERBL,1961,2,HI001645,EFS1,15003008002,21.389983,-157.950386,EDU1,1.5003E+14,4
801,Waimalu Elementary - Bldg E,98-825 MOANALUA RD,AIEA,96701,HI,4008600,4008600,13362,MERBL,1961,2,HI001646,EFS1,15003008002,21.389983,-157.950386,EDU1,1.5003E+14,4
802,Waimalu Elementary - Bldg A,98-825 MOANALUA RD,AIEA,96701,HI,1679400,1679400,5598,MERBL,1961,1,HI001643,EFS1,15003008002,21.389983,-157.950386,EDU1,1.5003E+14,4
803,Kapalama Elementary - Bldg F,1601 N SCHOOL ST,HONOLULU,96817,HI,4043100,4043100,13477,MERBL,1957,1,HI001255,EFS1,15003005600,21.334887,-157.869479,EDU1,1.5003E+14,4
804,Kapalama Elementary - Bldg A,1601 N SCHOOL ST,HONOLULU,96817,HI,2886600,2886600,9622,MERBL,1965,2,HI001250,EFS1,15003005600,21.334887,-157.869479,EDU1,1.5003E+14,4
805,Kapalama Elementary - Bldg B,1601 N SCHOOL ST,HONOLULU,96817,HI,2821200,2821200,9404,MERBL,1966,2,HI001251,EFS1,15003005600,21.334887,-157.869479,EDU1,1.5003E+14,4
806,Kapalama Elementary - Bldg D,1601 N SCHOOL ST,HONOLULU,96817,HI,1927200,1927200,6424,MERBL,1954,1,HI001253,EFS1,15003005600,21.334887,-157.869479,EDU1,1.5003E+14,4
807,Heeia Elementary - Bldg B,46-202 HAIKU RD,KANEOHE,96744,HI,4022400,4022400,13408,MERBL,1960,1,HI001652,EFS1,15003010506,21.418251,-157.808585,EDU1,1.5003E+14,4
808,Heeia Elementary - Bldg C,46-202 HAIKU RD,KANEOHE,96744,HI,4022400,4022400,13408,MERBL,1961,1,HI001653,EFS1,15003010506,21.418251,-157.808585,EDU1,1.5003E+14,4
809,Heeia Elementary - Bldg F,46-202 HAIKU RD,KANEOHE,96744,HI,1411500,1411500,4705,MERBL,1971,1,HI001654,EFS1,15003010506,21.418251,-157.808585,EDU1,1.5003E+14,4
810,Heeia Elementary - Bldg B,46-202 Haiku Rd,Kaneohe,96744,HI,4022.4,4022.4,13408,MERBL,1960,1,HI000410,EFS1,15003010507,21.41825,-157.80859,EDU1,1.5003E+14,4
811,Heeia Elementary - Bldg C,46-202 Haiku Rd,Kaneohe,96744,HI,4022.4,4022.4,13408,MERBL,1961,1,HI000411,EFS1,15003010507,21.41825,-157.80859,EDU1,1.5003E+14,4
812,Heeia Elementary - Bldg F,46-202 Haiku Rd,Kaneohe,96744,HI,1411.5,1411.5,4705,MERBL,1971,1,HI000412,EFS1,15003010507,21.41825,-157.80859,EDU1,1.5003E+14,4
