OBJECTID,CensusBlock,SURFACEROUGHNESS,SRIndex
2741,150010221021339,0.09400000,0.09000000
2742,150010221021095,0.26400000,0.26000000
2743,150010221021411,0.17800000,0.18000000
2744,150010221021485,0.53800000,0.54000000
2745,150010221021431,0.41100000,0.41000000
2746,150010215021013,0.10200000,0.10000000
2747,150010215041019,0.20800000,0.21000000
2748,150010215091000,0.28700000,0.29000000
2749,150010215071115,0.08300000,0.08000000
2750,150010215042091,0.19100000,0.19000000
2751,150010215042089,0.13200000,0.13000000
2752,150010215041000,0.22800000,0.23000000
2753,150010220001021,0.09000000,0.09000000
2754,150010220001269,0.09700000,0.10000000
2755,150010220001280,0.08700000,0.09000000
2756,150010201001079,0.15500000,0.16000000
2757,150010201003020,0.22600000,0.23000000
2758,150010201001103,0.07800000,0.08000000
2759,150010201001111,0.07300000,0.07000000
2760,150010201001119,0.14900000,0.15000000
2761,150010201001189,0.24900000,0.25000000
2762,150010201001066,0.14100000,0.14000000
2763,150010201001127,0.15600000,0.16000000
2764,150010201001161,0.36600000,0.37000000
2765,150010201001197,0.19700000,0.20000000
2766,150010201003031,0.10800000,0.11000000
2767,150010201003026,0.09200000,0.09000000
2768,150010201003021,0.18700000,0.19000000
2769,150010201003053,0.17600000,0.18000000
2770,150010206002134,0.40600000,0.41000000
2771,150010203001012,0.49900000,0.50000000
2772,150010206004061,0.53400000,0.53000000
2773,150010202021015,0.18800000,0.19000000
2774,150010202021253,0.63200000,0.63000000
2775,150010202021234,0.67600000,0.68000000
2776,150010206002040,0.40100000,0.40000000
2777,150010206002152,0.62500000,0.62000000
2778,150010205005012,0.55400000,0.55000000
2779,150010204002004,0.49400000,0.49000000
2780,150010204001046,0.48900000,0.49000000
2781,150010203002032,0.40100000,0.40000000
2782,150010203002011,0.34300000,0.34000000
2783,150010203002013,0.37000000,0.37000000
2784,150010202021110,0.07300000,0.07000000
2785,150010212021162,0.11700000,0.12000000
2786,150010212021051,0.25500000,0.26000000
2787,150010212021163,0.16100000,0.16000000
2788,150010212021304,0.07600000,0.08000000
2789,150010212021287,0.08900000,0.09000000
2790,150010212021318,0.13100000,0.13000000
2791,150010212021300,0.07400000,0.07000000
2792,150010212021345,0.22400000,0.22000000
2793,150010212021337,0.31700000,0.32000000
2794,150010212021136,0.31100000,0.31000000
2795,150010212021333,0.35500000,0.36000000
2796,150010212021331,0.30800000,0.31000000
2797,150010212021326,0.26100000,0.26000000
2798,150010221021073,0.21200000,0.21000000
2799,150010221021088,0.21800000,0.22000000
2800,150010221021294,0.73900000,0.74000000
2801,150010221021232,0.13400000,0.13000000
2802,150010221021236,0.17200000,0.17000000
2803,150010221021274,0.11600000,0.12000000
2804,150010221021264,0.23600000,0.24000000
2805,150010221021408,0.61900000,0.62000000
2806,150010221021300,0.51100000,0.51000000
2807,150010221021146,0.19700000,0.20000000
2808,150010221021139,0.21900000,0.22000000
2809,150010221021424,0.30500000,0.30000000
2810,150010220001283,0.10100000,0.10000000
2811,150010220001273,0.09000000,0.09000000
2812,150010220001262,0.21200000,0.21000000
2813,150010220001061,0.09700000,0.10000000
2814,150010220001240,0.48400000,0.48000000
2815,150010220001282,0.09000000,0.09000000
2816,150010220001230,0.32200000,0.32000000
2817,150010220001465,0.12000000,0.12000000
2818,150010201001106,0.14300000,0.14000000
2819,150010201001108,0.09900000,0.10000000
2820,150010201001124,0.09500000,0.10000000
2821,150010201001140,0.19200000,0.19000000
2822,150010201001198,0.19700000,0.20000000
2823,150010201003064,0.18100000,0.18000000
2824,150010201003063,0.18300000,0.18000000
2825,150010201003084,0.16800000,0.17000000
2826,150010201003092,0.13700000,0.14000000
2827,150010201003016,0.15300000,0.15000000
2828,150010201003110,0.11300000,0.11000000
2829,150010201003079,0.16300000,0.16000000
2830,150010201003072,0.15300000,0.15000000
2831,150010201003011,0.28500000,0.28000000
2832,150010201003046,0.12000000,0.12000000
2833,150010201003050,0.14000000,0.14000000
2834,150010202021262,0.10600000,0.11000000
2835,150010202021191,0.17500000,0.18000000
2836,150010202021215,0.10000000,0.10000000
2837,150010202021208,0.23500000,0.24000000
2838,150010202021193,0.10100000,0.10000000
2839,150010206002018,0.41400000,0.41000000
2840,150010205005010,0.60900000,0.61000000
2841,150010202021221,0.75900000,0.76000000
2842,150010206002101,0.36100000,0.36000000
2843,150010206002044,0.63400000,0.63000000
2844,150010205004029,0.51000000,0.51000000
2845,150010202021183,0.30100000,0.30000000
2846,150010202021050,0.48700000,0.49000000
2847,150010212021313,0.09900000,0.10000000
2848,150010212021351,0.19000000,0.19000000
2849,150010212021328,0.26400000,0.26000000
2850,150010212024013,0.08400000,0.08000000
2851,150010212021340,0.28100000,0.28000000
2852,150010212021335,0.30900000,0.31000000
2853,150010212021344,0.30500000,0.30000000
2854,150010212023048,0.08800000,0.09000000
2855,150010212023042,0.17800000,0.18000000
2856,150010212022591,0.18800000,0.19000000
2857,150010212022472,0.18700000,0.19000000
2858,150010212022532,0.15700000,0.16000000
2859,150010212022531,0.18100000,0.18000000
2860,150010212022565,0.15700000,0.16000000
2861,150010212022431,0.17600000,0.18000000
2862,150010212022432,0.17900000,0.18000000
2863,150010221021461,0.20500000,0.20000000
2864,150010221021467,0.21400000,0.21000000
2865,150010221021466,0.21300000,0.21000000
2866,150010221021468,0.10500000,0.10000000
2867,150010221021421,0.29200000,0.29000000
2868,150010221021379,0.04100000,0.04000000
2869,150010221021363,0.04900000,0.05000000
2870,150010220001079,0.58800000,0.59000000
2871,150010220002055,0.27900000,0.28000000
2872,150010220001555,0.22500000,0.22000000
2873,150010220002032,0.17000000,0.17000000
2874,150010220002029,0.14500000,0.14000000
2875,150010220002066,0.23300000,0.23000000
2876,150010220002033,0.14300000,0.14000000
2877,150010220002018,0.42700000,0.43000000
